Observation id	0375dc20-076c-48d2-a9e2-15ba494eefde							
								
Media file(s)								
								
Player #1	G:/Oxford/Videos/Bossou videos/2011/5efc127e-a10b-414c-b333-53339d5ecc7d/0375dc20-076c-48d2-a9e2-15ba494eefde.dv							
								
Observation date	2021-02-23 11:57:53							
								
Description	0375dc20-076c-48d2-a9e2-15ba494eefde							
								
Time offset (s)	0.0							
								
independent variables								
variable	value							
Observer	Alex							
Group	Bossou							
Date/Time	2000-01-01T00:00:00							
Contains play	yes							
Coded	no							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
