Observation id	03cfb0b3-d898-4aaf-abb4-445f54941bfe															
																
Media file(s)																
																
Player #1	G:/Oxford/Videos/Bossou videos/2012/621ca99d-105f-48ff-99a8-427931088dc7/03cfb0b3-d898-4aaf-abb4-445f54941bfe.dv															
																
Observation date	2020-09-02 12:20:18															
																
Description	Unfinished -03cfb0b3-d898-4aaf-abb4-445f54941bfe															
																
Time offset (s)	0.0															
																
independent variables																
variable	value															
Observer	Alex															
Group	Bossou															
Date/Time	2012-02-01T09:47:11															
Contains play	yes															
Coded	no															
																
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Modifier 1	Modifier 2	Modifier 3	Modifier 4	Modifier 5	Modifier 6	Modifier 7	Modifier 8	Comment	Status
34.316	G:/Oxford/Videos/Bossou videos/2012/621ca99d-105f-48ff-99a8-427931088dc7/03cfb0b3-d898-4aaf-abb4-445f54941bfe.dv	4962.620	29.97		Players	Players	Flanle,Joya	Yes	Fana,Fanle,Fanwaa,Flanle,Joya							POINT
34.784	G:/Oxford/Videos/Bossou videos/2012/621ca99d-105f-48ff-99a8-427931088dc7/03cfb0b3-d898-4aaf-abb4-445f54941bfe.dv	4962.620	29.97	Joya	Play Element	Play Element	None	None	Approach	None	Face_invisible	None	None	None		POINT
38.989	G:/Oxford/Videos/Bossou videos/2012/621ca99d-105f-48ff-99a8-427931088dc7/03cfb0b3-d898-4aaf-abb4-445f54941bfe.dv	4962.620	29.97	Joya	Play Element	Play Element	None	None	Bipedal	None	Play-Face	None	None	None		POINT
39.350	G:/Oxford/Videos/Bossou videos/2012/621ca99d-105f-48ff-99a8-427931088dc7/03cfb0b3-d898-4aaf-abb4-445f54941bfe.dv	4962.620	29.97	Flanle	Play Element	Play Element	None	None	Bipedal	None	Face_invisible	None	None	None		POINT
39.488	G:/Oxford/Videos/Bossou videos/2012/621ca99d-105f-48ff-99a8-427931088dc7/03cfb0b3-d898-4aaf-abb4-445f54941bfe.dv	4962.620	29.97	Joya	Play Element	Play Element	None	Hit	Bipedal	None	Play-Face	None	None	None		POINT
39.955	G:/Oxford/Videos/Bossou videos/2012/621ca99d-105f-48ff-99a8-427931088dc7/03cfb0b3-d898-4aaf-abb4-445f54941bfe.dv	4962.620	29.97	Joya	Play Element	Play Element	None	Hit	Bipedal	None	Play-Face	None	None	None		POINT
40.150	G:/Oxford/Videos/Bossou videos/2012/621ca99d-105f-48ff-99a8-427931088dc7/03cfb0b3-d898-4aaf-abb4-445f54941bfe.dv	4962.620	29.97	Flanle	Play Element	Play Element	None	Hit	Bipedal	None	Face_invisible	None	None	None		POINT
40.750	G:/Oxford/Videos/Bossou videos/2012/621ca99d-105f-48ff-99a8-427931088dc7/03cfb0b3-d898-4aaf-abb4-445f54941bfe.dv	4962.620	29.97	Flanle	Play Element	Play Element	None	None	Bipedal	Arm-raise	Face_invisible	None	None	None		POINT
40.856	G:/Oxford/Videos/Bossou videos/2012/621ca99d-105f-48ff-99a8-427931088dc7/03cfb0b3-d898-4aaf-abb4-445f54941bfe.dv	4962.620	29.97	Joya	Play Element	Play Element	None	None	Bipedal	Flail	Face_invisible	None	None	None		POINT
41.552	G:/Oxford/Videos/Bossou videos/2012/621ca99d-105f-48ff-99a8-427931088dc7/03cfb0b3-d898-4aaf-abb4-445f54941bfe.dv	4962.620	29.97	Flanle	Play Element	Play Element	None	None	Follow-Other	None	Face_invisible	None	None	None		POINT
41.589	G:/Oxford/Videos/Bossou videos/2012/621ca99d-105f-48ff-99a8-427931088dc7/03cfb0b3-d898-4aaf-abb4-445f54941bfe.dv	4962.620	29.97	Joya	Play Element	Play Element	None	None	None	Hide-swing	Face_invisible	None	None	None		POINT
43.158	G:/Oxford/Videos/Bossou videos/2012/621ca99d-105f-48ff-99a8-427931088dc7/03cfb0b3-d898-4aaf-abb4-445f54941bfe.dv	4962.620	29.97	Joya	Play Element	Play Element	None	None	Retreat	None	Face_invisible	None	None	None		POINT
43.887	G:/Oxford/Videos/Bossou videos/2012/621ca99d-105f-48ff-99a8-427931088dc7/03cfb0b3-d898-4aaf-abb4-445f54941bfe.dv	4962.620	29.97	Flanle	Play Element	Play Element	None	None	None	Charge	Face_invisible	None	None	None		POINT
44.220	G:/Oxford/Videos/Bossou videos/2012/621ca99d-105f-48ff-99a8-427931088dc7/03cfb0b3-d898-4aaf-abb4-445f54941bfe.dv	4962.620	29.97	Joya	Break	Break										POINT
45.190	G:/Oxford/Videos/Bossou videos/2012/621ca99d-105f-48ff-99a8-427931088dc7/03cfb0b3-d898-4aaf-abb4-445f54941bfe.dv	4962.620	29.97	Flanle	Break	Break										POINT
47.490	G:/Oxford/Videos/Bossou videos/2012/621ca99d-105f-48ff-99a8-427931088dc7/03cfb0b3-d898-4aaf-abb4-445f54941bfe.dv	4962.620	29.97		End	End	Unknown	Yes								POINT
89.032	G:/Oxford/Videos/Bossou videos/2012/621ca99d-105f-48ff-99a8-427931088dc7/03cfb0b3-d898-4aaf-abb4-445f54941bfe.dv	4962.620	29.97		Players	Players	Fanle,Flanle	Yes	Fana,Fanle,Fanwaa,Flanle,Joya							POINT
89.367	G:/Oxford/Videos/Bossou videos/2012/621ca99d-105f-48ff-99a8-427931088dc7/03cfb0b3-d898-4aaf-abb4-445f54941bfe.dv	4962.620	29.97	Flanle	Play Element	Play Element	None	None	Bipedal	None	None	None	Stone	None		POINT
92.769	G:/Oxford/Videos/Bossou videos/2012/621ca99d-105f-48ff-99a8-427931088dc7/03cfb0b3-d898-4aaf-abb4-445f54941bfe.dv	4962.620	29.97	Fanle	Play Element	Play Element	None	None	Bipedal	None	Face_invisible	None	None	None		POINT
93.071	G:/Oxford/Videos/Bossou videos/2012/621ca99d-105f-48ff-99a8-427931088dc7/03cfb0b3-d898-4aaf-abb4-445f54941bfe.dv	4962.620	29.97	Flanle	Play Element	Play Element	None	None	None	Press-ground	Face_invisible	None	Stone	None		POINT
94.138	G:/Oxford/Videos/Bossou videos/2012/621ca99d-105f-48ff-99a8-427931088dc7/03cfb0b3-d898-4aaf-abb4-445f54941bfe.dv	4962.620	29.97	Flanle	Play Element	Play Element	None	None	Bipedal	None	None	None	Stone	None		POINT
94.405	G:/Oxford/Videos/Bossou videos/2012/621ca99d-105f-48ff-99a8-427931088dc7/03cfb0b3-d898-4aaf-abb4-445f54941bfe.dv	4962.620	29.97	Fanle	Play Element	Play Element	None	None	Bipedal,Branch-shake	None	Face_invisible	None	None	None		POINT
95.140	G:/Oxford/Videos/Bossou videos/2012/621ca99d-105f-48ff-99a8-427931088dc7/03cfb0b3-d898-4aaf-abb4-445f54941bfe.dv	4962.620	29.97	Flanle	Play Element	Play Element	None	None	Retreat-backwards	None	Face_invisible	None	Stone	None		POINT
95.339	G:/Oxford/Videos/Bossou videos/2012/621ca99d-105f-48ff-99a8-427931088dc7/03cfb0b3-d898-4aaf-abb4-445f54941bfe.dv	4962.620	29.97	Fanle	Play Element	Play Element	None	None	Follow-Other	None	Face_invisible	None	None	None		POINT
99.611	G:/Oxford/Videos/Bossou videos/2012/621ca99d-105f-48ff-99a8-427931088dc7/03cfb0b3-d898-4aaf-abb4-445f54941bfe.dv	4962.620	29.97	Flanle	Play Element	Play Element	None	None	Bipedal	Arm-swing	Face_invisible	None	Stone	None		POINT
100.010	G:/Oxford/Videos/Bossou videos/2012/621ca99d-105f-48ff-99a8-427931088dc7/03cfb0b3-d898-4aaf-abb4-445f54941bfe.dv	4962.620	29.97	Flanle	Play Element	Play Element	None	None	None	Feint	Face_invisible	None	Stone	None		POINT
100.878	G:/Oxford/Videos/Bossou videos/2012/621ca99d-105f-48ff-99a8-427931088dc7/03cfb0b3-d898-4aaf-abb4-445f54941bfe.dv	4962.620	29.97	Flanle	Play Element	Play Element	None	None	Retreat-backwards	None	Face_invisible	None	Stone	None		POINT
101.612	G:/Oxford/Videos/Bossou videos/2012/621ca99d-105f-48ff-99a8-427931088dc7/03cfb0b3-d898-4aaf-abb4-445f54941bfe.dv	4962.620	29.97		Intervention	Intervention	Join	Joya								POINT
101.612	G:/Oxford/Videos/Bossou videos/2012/621ca99d-105f-48ff-99a8-427931088dc7/03cfb0b3-d898-4aaf-abb4-445f54941bfe.dv	4962.620	29.97		Players	Players	Fanle,Flanle,Joya	Yes	Fana,Fanle,Fanwaa,Flanle,Joya							POINT
102.146	G:/Oxford/Videos/Bossou videos/2012/621ca99d-105f-48ff-99a8-427931088dc7/03cfb0b3-d898-4aaf-abb4-445f54941bfe.dv	4962.620	29.97	Joya	Play Element	Play Element	None	None	Approach	None	Face_invisible	None	None	Fanle		POINT
103.681	G:/Oxford/Videos/Bossou videos/2012/621ca99d-105f-48ff-99a8-427931088dc7/03cfb0b3-d898-4aaf-abb4-445f54941bfe.dv	4962.620	29.97	Fanle	Play Element	Play Element	None	None	Retreat-backwards	None	Face_invisible	None	None	Joya		POINT
103.747	G:/Oxford/Videos/Bossou videos/2012/621ca99d-105f-48ff-99a8-427931088dc7/03cfb0b3-d898-4aaf-abb4-445f54941bfe.dv	4962.620	29.97	Joya	Play Element	Play Element	None	None	Bipedal	Arm-swing	Face_invisible	None	None	Fanle		POINT
104.548	G:/Oxford/Videos/Bossou videos/2012/621ca99d-105f-48ff-99a8-427931088dc7/03cfb0b3-d898-4aaf-abb4-445f54941bfe.dv	4962.620	29.97	Joya	Play Element	Play Element	None	None	Swagger	None	Face_invisible	None	None	Fanle		POINT
105.348	G:/Oxford/Videos/Bossou videos/2012/621ca99d-105f-48ff-99a8-427931088dc7/03cfb0b3-d898-4aaf-abb4-445f54941bfe.dv	4962.620	29.97	Joya	Play Element	Play Element	None	None	None	Stomp	Face_invisible	None	None	Fanle		POINT
106.016	G:/Oxford/Videos/Bossou videos/2012/621ca99d-105f-48ff-99a8-427931088dc7/03cfb0b3-d898-4aaf-abb4-445f54941bfe.dv	4962.620	29.97	Joya	Play Element	Play Element	None	None	Bipedal	Stomp	Face_invisible	None	None	Fanle		POINT
106.817	G:/Oxford/Videos/Bossou videos/2012/621ca99d-105f-48ff-99a8-427931088dc7/03cfb0b3-d898-4aaf-abb4-445f54941bfe.dv	4962.620	29.97	Joya	Play Element	Play Element	None	None	None	Bow,Stomp	Face_invisible	None	None	Fanle		POINT
107.350	G:/Oxford/Videos/Bossou videos/2012/621ca99d-105f-48ff-99a8-427931088dc7/03cfb0b3-d898-4aaf-abb4-445f54941bfe.dv	4962.620	29.97	Flanle	Play Element	Play Element	None	None	Bipedal	None	Face_invisible	None	Stone	None		POINT
108.384	G:/Oxford/Videos/Bossou videos/2012/621ca99d-105f-48ff-99a8-427931088dc7/03cfb0b3-d898-4aaf-abb4-445f54941bfe.dv	4962.620	29.97	Joya	Play Element	Play Element	None	None	Bipedal	Kick-tree	Face_invisible	None	None	Fanle		POINT
108.786	G:/Oxford/Videos/Bossou videos/2012/621ca99d-105f-48ff-99a8-427931088dc7/03cfb0b3-d898-4aaf-abb4-445f54941bfe.dv	4962.620	29.97	Fanle	Play Element	Play Element	None	None	Bop	None	Face_invisible	None	None	Flanle		POINT
109.086	G:/Oxford/Videos/Bossou videos/2012/621ca99d-105f-48ff-99a8-427931088dc7/03cfb0b3-d898-4aaf-abb4-445f54941bfe.dv	4962.620	29.97	Joya	Play Element	Play Element	None	None	Bipedal	Arm-swing	Face_invisible	None	None	Fanle		POINT
109.286	G:/Oxford/Videos/Bossou videos/2012/621ca99d-105f-48ff-99a8-427931088dc7/03cfb0b3-d898-4aaf-abb4-445f54941bfe.dv	4962.620	29.97	Fanle	Play Element	Play Element	None	None	None	Press-ground	Face_invisible	None	None	Flanle		POINT
