Observation id	20120121160729							
								
Media file(s)								
								
Player #1	G:/Oxford/Videos/Bossou videos/2012/Salon/9db468bb-675b-4f6d-af29-2c0fdcf4cce2/20120121160729.mp4							
								
Observation date	2021-02-17 12:16:27							
								
Description	 1823b7c3-004f-4708-a52a-36b1d3f219b3 							
								
Time offset (s)	0.0							
								
independent variables								
variable	value							
Observer	Alex							
Group	Bossou							
Date/Time	2000-01-01T00:00:00							
Contains play	yes							
Coded	no							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
