Observation id	2052fed5-e5f3-4a4d-b872-2965529afcd1							
								
Media file(s)								
								
Player #1	G:/Oxford/Videos/Bossou videos/2010/58b54a12-2dff-49b6-8431-75f3f93b8dbf/2052fed5-e5f3-4a4d-b872-2965529afcd1.dv							
								
Observation date	2021-06-10 12:08:09							
								
Description	2052fed5-e5f3-4a4d-b872-2965529afcd1							
								
Time offset (s)	0.0							
								
independent variables								
variable	value							
Observer	Alex							
Group	Bossou							
Date/Time	2000-01-01T00:00:00							
Contains play	yes							
Coded	no							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
