Observation id	2c13ea8a-8281-407f-9bc8-1f8f4287ae3c															
																
Media file(s)																
																
Player #1	G:/Oxford/Videos/Bossou videos/2010/7e8c6b39-f135-41e5-ab98-17a74831f7f0/2c13ea8a-8281-407f-9bc8-1f8f4287ae3c.dv															
																
Observation date	2021-03-08 11:48:24															
																
Description	2c13ea8a-8281-407f-9bc8-1f8f4287ae3c															
																
Time offset (s)	0.0															
																
independent variables																
variable	value															
Observer	Alex															
Group	Bossou															
Date/Time	2000-01-01T00:00:00															
Contains play	yes															
Coded	no															
																
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Modifier 1	Modifier 2	Modifier 3	Modifier 4	Modifier 5	Modifier 6	Modifier 7	Modifier 8	Comment	Status
331.600	G:/Oxford/Videos/Bossou videos/2010/7e8c6b39-f135-41e5-ab98-17a74831f7f0/2c13ea8a-8281-407f-9bc8-1f8f4287ae3c.dv	1668.270	29.97		Solo Play	Solo Play									"Joya really working that pole
"	POINT
333.792	G:/Oxford/Videos/Bossou videos/2010/7e8c6b39-f135-41e5-ab98-17a74831f7f0/2c13ea8a-8281-407f-9bc8-1f8f4287ae3c.dv	1668.270	29.97		Players	Players	Jire,Joya	Yes	Foaf,Jeje,Jire,Joya,Tua,Velu							POINT
336.428	G:/Oxford/Videos/Bossou videos/2010/7e8c6b39-f135-41e5-ab98-17a74831f7f0/2c13ea8a-8281-407f-9bc8-1f8f4287ae3c.dv	1668.270	29.97	Joya	Play Element	Play Element	None	None	Bend-sapling,Bipedal	None	Face_invisible	None	None	None		POINT
338.530	G:/Oxford/Videos/Bossou videos/2010/7e8c6b39-f135-41e5-ab98-17a74831f7f0/2c13ea8a-8281-407f-9bc8-1f8f4287ae3c.dv	1668.270	29.97	Joya	Play Element	Play Element	None	None	Bend-sapling,Bipedal	Kick-tree	Face_invisible	None	None	None		POINT
338.997	G:/Oxford/Videos/Bossou videos/2010/7e8c6b39-f135-41e5-ab98-17a74831f7f0/2c13ea8a-8281-407f-9bc8-1f8f4287ae3c.dv	1668.270	29.97	Joya	Play Element	Play Element	None	None	Climb	None	Face_invisible	None	None	None		POINT
339.797	G:/Oxford/Videos/Bossou videos/2010/7e8c6b39-f135-41e5-ab98-17a74831f7f0/2c13ea8a-8281-407f-9bc8-1f8f4287ae3c.dv	1668.270	29.97	Joya	Play Element	Play Element	None	None	Bend-sapling,Bipedal	Arm-swing	Face_invisible	None	None	None		POINT
342.733	G:/Oxford/Videos/Bossou videos/2010/7e8c6b39-f135-41e5-ab98-17a74831f7f0/2c13ea8a-8281-407f-9bc8-1f8f4287ae3c.dv	1668.270	29.97	Joya	Play Element	Play Element	None	None	Bend-sapling	None	Face_invisible	None	None	None		POINT
344.636	G:/Oxford/Videos/Bossou videos/2010/7e8c6b39-f135-41e5-ab98-17a74831f7f0/2c13ea8a-8281-407f-9bc8-1f8f4287ae3c.dv	1668.270	29.97	Joya	Play Element	Play Element	None	None	Bend-sapling	Stomp	Face_invisible	None	None	None		POINT
345.803	G:/Oxford/Videos/Bossou videos/2010/7e8c6b39-f135-41e5-ab98-17a74831f7f0/2c13ea8a-8281-407f-9bc8-1f8f4287ae3c.dv	1668.270	29.97	Joya	Play Element	Play Element	None	None	Swing	None	Face_invisible	None	None	None		POINT
346.237	G:/Oxford/Videos/Bossou videos/2010/7e8c6b39-f135-41e5-ab98-17a74831f7f0/2c13ea8a-8281-407f-9bc8-1f8f4287ae3c.dv	1668.270	29.97	Joya	Play Element	Play Element	None	None	Bend-sapling,Crouch	None	Face_invisible	None	None	None		POINT
347.004	G:/Oxford/Videos/Bossou videos/2010/7e8c6b39-f135-41e5-ab98-17a74831f7f0/2c13ea8a-8281-407f-9bc8-1f8f4287ae3c.dv	1668.270	29.97	Joya	Play Element	Play Element	None	None	Bend-sapling	None	Face_invisible	None	None	None		POINT
348.872	G:/Oxford/Videos/Bossou videos/2010/7e8c6b39-f135-41e5-ab98-17a74831f7f0/2c13ea8a-8281-407f-9bc8-1f8f4287ae3c.dv	1668.270	29.97	Joya	Break	Break										POINT
359.250	G:/Oxford/Videos/Bossou videos/2010/7e8c6b39-f135-41e5-ab98-17a74831f7f0/2c13ea8a-8281-407f-9bc8-1f8f4287ae3c.dv	1668.270	29.97	Joya	Play Element	Play Element	None	None	Bend-sapling	Stomp	Face_invisible	None	None	None		POINT
359.884	G:/Oxford/Videos/Bossou videos/2010/7e8c6b39-f135-41e5-ab98-17a74831f7f0/2c13ea8a-8281-407f-9bc8-1f8f4287ae3c.dv	1668.270	29.97	Joya	Play Element	Play Element	None	None	Branch-pull	Stomp	Face_invisible	None	None	None		POINT
363.120	G:/Oxford/Videos/Bossou videos/2010/7e8c6b39-f135-41e5-ab98-17a74831f7f0/2c13ea8a-8281-407f-9bc8-1f8f4287ae3c.dv	1668.270	29.97	Joya	Break	Break										POINT
366.023	G:/Oxford/Videos/Bossou videos/2010/7e8c6b39-f135-41e5-ab98-17a74831f7f0/2c13ea8a-8281-407f-9bc8-1f8f4287ae3c.dv	1668.270	29.97	Joya	Play Element	Play Element	None	None	Bend-sapling,Bipedal	None	Face_invisible	None	None	None		POINT
366.690	G:/Oxford/Videos/Bossou videos/2010/7e8c6b39-f135-41e5-ab98-17a74831f7f0/2c13ea8a-8281-407f-9bc8-1f8f4287ae3c.dv	1668.270	29.97	Joya	Play Element	Play Element	None	None	Bend-sapling,Branch-shake,Crouch	Press-ground	Face_invisible	None	None	None		POINT
368.893	G:/Oxford/Videos/Bossou videos/2010/7e8c6b39-f135-41e5-ab98-17a74831f7f0/2c13ea8a-8281-407f-9bc8-1f8f4287ae3c.dv	1668.270	29.97	Joya	Non-Play	Social Interaction	Aggression	None	Jire	Receiver						POINT
368.994	G:/Oxford/Videos/Bossou videos/2010/7e8c6b39-f135-41e5-ab98-17a74831f7f0/2c13ea8a-8281-407f-9bc8-1f8f4287ae3c.dv	1668.270	29.97	Joya	Play Element	Play Element	None	None	Branch-pull,Branch-shake	None	Face_invisible	None	None	None		POINT
369.828	G:/Oxford/Videos/Bossou videos/2010/7e8c6b39-f135-41e5-ab98-17a74831f7f0/2c13ea8a-8281-407f-9bc8-1f8f4287ae3c.dv	1668.270	29.97	Joya	Play Element	Play Element	None	None	Arm-protect,Bend-sapling,Retreat	None	None	None	None	None		POINT
370.106	G:/Oxford/Videos/Bossou videos/2010/7e8c6b39-f135-41e5-ab98-17a74831f7f0/2c13ea8a-8281-407f-9bc8-1f8f4287ae3c.dv	1668.270	29.97		End	End	Aggression	Yes								POINT
370.360	G:/Oxford/Videos/Bossou videos/2010/7e8c6b39-f135-41e5-ab98-17a74831f7f0/2c13ea8a-8281-407f-9bc8-1f8f4287ae3c.dv	1668.270	29.97		Players	Players	Joya,Tua	Yes	Foaf,Jeje,Jire,Joya,Tua,Velu							POINT
370.360	G:/Oxford/Videos/Bossou videos/2010/7e8c6b39-f135-41e5-ab98-17a74831f7f0/2c13ea8a-8281-407f-9bc8-1f8f4287ae3c.dv	1668.270	29.97	Joya	Play Element	Play Element	None	None	Approach,Bend-sapling,Bipedal	None	None	None	None	None		POINT
