Observation id	36200126-5e9b-466c-a904-dfca9befec3c							
								
Media file(s)								
								
Player #1	G:/Oxford/Videos/Bossou videos/2010/29c4551b-4249-4419-8b36-fa7da820e03b/36200126-5e9b-466c-a904-dfca9befec3c.dv							
								
Observation date	2021-03-24 17:14:52							
								
Description	36200126-5e9b-466c-a904-dfca9befec3c							
								
Time offset (s)	0.0							
								
independent variables								
variable	value							
Observer	Alex							
Group	Bossou							
Date/Time	2000-01-01T00:00:00							
Contains play	yes							
Coded	no							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
