Observation id	4037f814-e953-433e-b365-4667fbc0315f							
								
Media file(s)								
								
Player #1	G:/Oxford/Videos/Bossou videos/2011/5efc127e-a10b-414c-b333-53339d5ecc7d/4037f814-e953-433e-b365-4667fbc0315f.dv							
								
Observation date	2021-02-23 14:35:49							
								
Description	4037f814-e953-433e-b365-4667fbc0315f							
								
Time offset (s)	0.0							
								
independent variables								
variable	value							
Observer	Alex							
Group	Bossou							
Date/Time	2000-01-01T00:00:00							
Contains play	yes							
Coded	no							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
