Observation id	457f9f6a-bfff-4a7e-bf7d-e7d4c59ee716							
								
Media file(s)								
								
Player #1	G:/Oxford/Videos/Bossou videos/2010/583f54b6-228a-46e9-803b-6e4ffb69f28d/457f9f6a-bfff-4a7e-bf7d-e7d4c59ee716.dv							
								
Observation date	2021-06-10 13:37:54							
								
Description	457f9f6a-bfff-4a7e-bf7d-e7d4c59ee716							
								
Time offset (s)	0.0							
								
independent variables								
variable	value							
Observer	Alex							
Group	Bossou							
Date/Time	2000-01-01T00:00:00							
Contains play	yes							
Coded	no							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
