Observation id	49c8df9d-7c5b-482c-882a-16e390672452															
																
Media file(s)																
																
Player #1	G:/Oxford/Videos/Bossou videos/2010/7e8c6b39-f135-41e5-ab98-17a74831f7f0/49c8df9d-7c5b-482c-882a-16e390672452.dv															
																
Observation date	2021-03-08 13:31:04															
																
Description	49c8df9d-7c5b-482c-882a-16e390672452															
																
Time offset (s)	0.0															
																
independent variables																
variable	value															
Observer	Alex															
Group	Bossou															
Date/Time	2000-01-01T00:00:00															
Contains play	yes															
Coded	no															
																
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Modifier 1	Modifier 2	Modifier 3	Modifier 4	Modifier 5	Modifier 6	Modifier 7	Modifier 8	Comment	Status
27.711	G:/Oxford/Videos/Bossou videos/2010/7e8c6b39-f135-41e5-ab98-17a74831f7f0/49c8df9d-7c5b-482c-882a-16e390672452.dv	4963.690	29.97		Start										"Impossible to code, too far and too much going on
"	POINT
66.335	G:/Oxford/Videos/Bossou videos/2010/7e8c6b39-f135-41e5-ab98-17a74831f7f0/49c8df9d-7c5b-482c-882a-16e390672452.dv	4963.690	29.97		Start										"Too far to code
"	POINT
91.401	G:/Oxford/Videos/Bossou videos/2010/7e8c6b39-f135-41e5-ab98-17a74831f7f0/49c8df9d-7c5b-482c-882a-16e390672452.dv	4963.690	29.97		Players	Players	Flanle,Peley	Yes	Fana,Fanle,Flanle,Jeje,Jire,Joya,Tua,Velu							POINT
96.638	G:/Oxford/Videos/Bossou videos/2010/7e8c6b39-f135-41e5-ab98-17a74831f7f0/49c8df9d-7c5b-482c-882a-16e390672452.dv	4963.690	29.97	Flanle	Play Element	Play Element	None	None	Approach	None	Face_invisible	None	None	None		POINT
97.505	G:/Oxford/Videos/Bossou videos/2010/7e8c6b39-f135-41e5-ab98-17a74831f7f0/49c8df9d-7c5b-482c-882a-16e390672452.dv	4963.690	29.97	Flanle	Play Element	Play Element	None	None	Approach,Bipedal	None	None	None	None	None		POINT
98.042	G:/Oxford/Videos/Bossou videos/2010/7e8c6b39-f135-41e5-ab98-17a74831f7f0/49c8df9d-7c5b-482c-882a-16e390672452.dv	4963.690	29.97	Flanle	Play Element	Play Element	None	None	None	Charge	Face_invisible	None	None	None		POINT
98.068	G:/Oxford/Videos/Bossou videos/2010/7e8c6b39-f135-41e5-ab98-17a74831f7f0/49c8df9d-7c5b-482c-882a-16e390672452.dv	4963.690	29.97	Peley	Play Element	Play Element	None	None	Lie-down	None	Face_invisible	None	None	None		POINT
100.038	G:/Oxford/Videos/Bossou videos/2010/7e8c6b39-f135-41e5-ab98-17a74831f7f0/49c8df9d-7c5b-482c-882a-16e390672452.dv	4963.690	29.97	Peley	Play Element	Play Element	Grabble/Wrestle	None	None	None	Face_invisible	None	None	None		POINT
100.176	G:/Oxford/Videos/Bossou videos/2010/7e8c6b39-f135-41e5-ab98-17a74831f7f0/49c8df9d-7c5b-482c-882a-16e390672452.dv	4963.690	29.97	Flanle	Play Element	Play Element	Grabble/Wrestle	None	None	None	Face_invisible	None	None	None		POINT
107.081	G:/Oxford/Videos/Bossou videos/2010/7e8c6b39-f135-41e5-ab98-17a74831f7f0/49c8df9d-7c5b-482c-882a-16e390672452.dv	4963.690	29.97	Flanle	Play Element	Play Element	None	None	Retreat	None	Face_invisible	None	None	None		POINT
107.475	G:/Oxford/Videos/Bossou videos/2010/7e8c6b39-f135-41e5-ab98-17a74831f7f0/49c8df9d-7c5b-482c-882a-16e390672452.dv	4963.690	29.97	Peley	Play Element	Play Element	None	Touch	None	None	Face_invisible	None	None	None		POINT
108.244	G:/Oxford/Videos/Bossou videos/2010/7e8c6b39-f135-41e5-ab98-17a74831f7f0/49c8df9d-7c5b-482c-882a-16e390672452.dv	4963.690	29.97	Peley	Break	Break										POINT
