Observation id	52205fc7-bb83-43e5-8c33-aa6e622ff47c							
								
Media file(s)								
								
Player #1	G:/Oxford/Videos/Bossou videos/2010/fcb55bd3-8a6d-4f5f-9dba-717c1678ec2d/52205fc7-bb83-43e5-8c33-aa6e622ff47c.dv							
								
Observation date	2021-06-10 15:07:17							
								
Description	52205fc7-bb83-43e5-8c33-aa6e622ff47c							
								
Time offset (s)	0.0							
								
independent variables								
variable	value							
Observer	Alex							
Group	Bossou							
Date/Time	2000-01-01T00:00:00							
Contains play	yes							
Coded	no							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
