Observation id	5f2ceeb7-77e6-4efc-9550-0ffeafeb69bd							
								
Media file(s)								
								
Player #1	G:/Oxford/Videos/Bossou videos/2010/58b54a12-2dff-49b6-8431-75f3f93b8dbf/5f2ceeb7-77e6-4efc-9550-0ffeafeb69bd.dv							
								
Observation date	2021-05-21 17:02:19							
								
Description	5f2ceeb7-77e6-4efc-9550-0ffeafeb69bd							
								
Time offset (s)	0.0							
								
independent variables								
variable	value							
Observer	Alex							
Group	Bossou							
Date/Time	2000-01-01T00:00:00							
Contains play	yes							
Coded	no							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
2837.740	G:/Oxford/Videos/Bossou videos/2010/58b54a12-2dff-49b6-8431-75f3f93b8dbf/5f2ceeb7-77e6-4efc-9550-0ffeafeb69bd.dv	4967.260	29.97		Start			POINT
3071.785	G:/Oxford/Videos/Bossou videos/2010/58b54a12-2dff-49b6-8431-75f3f93b8dbf/5f2ceeb7-77e6-4efc-9550-0ffeafeb69bd.dv	4967.260	29.97		Solo Play	Solo Play		POINT
3139.842	G:/Oxford/Videos/Bossou videos/2010/58b54a12-2dff-49b6-8431-75f3f93b8dbf/5f2ceeb7-77e6-4efc-9550-0ffeafeb69bd.dv	4967.260	29.97		Start			POINT
3731.148	G:/Oxford/Videos/Bossou videos/2010/58b54a12-2dff-49b6-8431-75f3f93b8dbf/5f2ceeb7-77e6-4efc-9550-0ffeafeb69bd.dv	4967.260	29.97		Start			POINT
3857.167	G:/Oxford/Videos/Bossou videos/2010/58b54a12-2dff-49b6-8431-75f3f93b8dbf/5f2ceeb7-77e6-4efc-9550-0ffeafeb69bd.dv	4967.260	29.97		Start			POINT
4033.337	G:/Oxford/Videos/Bossou videos/2010/58b54a12-2dff-49b6-8431-75f3f93b8dbf/5f2ceeb7-77e6-4efc-9550-0ffeafeb69bd.dv	4967.260	29.97		Solo Play	Solo Play		POINT
4207.084	G:/Oxford/Videos/Bossou videos/2010/58b54a12-2dff-49b6-8431-75f3f93b8dbf/5f2ceeb7-77e6-4efc-9550-0ffeafeb69bd.dv	4967.260	29.97		Start			POINT
