Observation id	628c31ea-5af6-428e-b1f1-726c3b7b95dc							
								
Media file(s)								
								
Player #1	G:/Oxford/Videos/Bossou videos/2010/29c4551b-4249-4419-8b36-fa7da820e03b/628c31ea-5af6-428e-b1f1-726c3b7b95dc.dv							
								
Observation date	2021-03-24 17:13:34							
								
Description	628c31ea-5af6-428e-b1f1-726c3b7b95dc							
								
Time offset (s)	0.0							
								
independent variables								
variable	value							
Observer	Alex							
Group	Bossou							
Date/Time	2000-01-01T00:00:00							
Contains play	yes							
Coded	no							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
