Observation id	903a667a-d6d4-4137-8357-a1aac919e70d							
								
Media file(s)								
								
Player #1	G:/Oxford/Videos/Bossou videos/2010/48dbe18e-adb6-4cfa-9108-49123cb203c8/903a667a-d6d4-4137-8357-a1aac919e70d.dv							
								
Observation date	2021-05-21 11:35:37							
								
Description	903a667a-d6d4-4137-8357-a1aac919e70d							
								
Time offset (s)	0.0							
								
independent variables								
variable	value							
Observer	Alex							
Group	Bossou							
Date/Time	2000-01-01T00:00:00							
Contains play	yes							
Coded	no							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
