Observation id	998a5667-fd56-456d-b51d-75095897bd51															
																
Media file(s)																
																
Player #1	G:/Oxford/Videos/Bossou videos/2010/58b54a12-2dff-49b6-8431-75f3f93b8dbf/998a5667-fd56-456d-b51d-75095897bd51.dv															
																
Observation date	2021-05-21 17:16:53															
																
Description	998a5667-fd56-456d-b51d-75095897bd51															
																
Time offset (s)	0.0															
																
independent variables																
variable	value															
Observer	Alex															
Group	Bossou															
Date/Time	2000-01-01T00:00:00															
Contains play	yes															
Coded	no															
																
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Modifier 1	Modifier 2	Modifier 3	Modifier 4	Modifier 5	Modifier 6	Modifier 7	Modifier 8	Comment	Status
4.038	G:/Oxford/Videos/Bossou videos/2010/58b54a12-2dff-49b6-8431-75f3f93b8dbf/998a5667-fd56-456d-b51d-75095897bd51.dv	4833.090	29.97		Solo Play	Solo Play										POINT
42.477	G:/Oxford/Videos/Bossou videos/2010/58b54a12-2dff-49b6-8431-75f3f93b8dbf/998a5667-fd56-456d-b51d-75095897bd51.dv	4833.090	29.97		Solo Play	Solo Play										POINT
111.246	G:/Oxford/Videos/Bossou videos/2010/58b54a12-2dff-49b6-8431-75f3f93b8dbf/998a5667-fd56-456d-b51d-75095897bd51.dv	4833.090	29.97		Solo Play	Solo Play										POINT
155.492	G:/Oxford/Videos/Bossou videos/2010/58b54a12-2dff-49b6-8431-75f3f93b8dbf/998a5667-fd56-456d-b51d-75095897bd51.dv	4833.090	29.97		Solo Play	Solo Play										POINT
172.342	G:/Oxford/Videos/Bossou videos/2010/58b54a12-2dff-49b6-8431-75f3f93b8dbf/998a5667-fd56-456d-b51d-75095897bd51.dv	4833.090	29.97		Solo Play	Solo Play										POINT
174.615	G:/Oxford/Videos/Bossou videos/2010/58b54a12-2dff-49b6-8431-75f3f93b8dbf/998a5667-fd56-456d-b51d-75095897bd51.dv	4833.090	29.97		Players	Players	Flanle,Pama	Yes	Fana,Fanle,Flanle,Pama,Peley							POINT
178.646	G:/Oxford/Videos/Bossou videos/2010/58b54a12-2dff-49b6-8431-75f3f93b8dbf/998a5667-fd56-456d-b51d-75095897bd51.dv	4833.090	29.97	Pama	Play Element	Play Element	None	None	Approach	None	None	None	None	None		POINT
179.915	G:/Oxford/Videos/Bossou videos/2010/58b54a12-2dff-49b6-8431-75f3f93b8dbf/998a5667-fd56-456d-b51d-75095897bd51.dv	4833.090	29.97	Pama	Play Element	Play Element	None	None	Approach,Bop	Head-shake	None	None	None	None		POINT
180.249	G:/Oxford/Videos/Bossou videos/2010/58b54a12-2dff-49b6-8431-75f3f93b8dbf/998a5667-fd56-456d-b51d-75095897bd51.dv	4833.090	29.97	Flanle	Play Element	Play Element	None	None	Flee	None	Face_invisible	None	None	None		POINT
180.715	G:/Oxford/Videos/Bossou videos/2010/58b54a12-2dff-49b6-8431-75f3f93b8dbf/998a5667-fd56-456d-b51d-75095897bd51.dv	4833.090	29.97	Flanle	Out Of Sight	Out of Sight										POINT
181.850	G:/Oxford/Videos/Bossou videos/2010/58b54a12-2dff-49b6-8431-75f3f93b8dbf/998a5667-fd56-456d-b51d-75095897bd51.dv	4833.090	29.97	Pama	Play Element	Play Element	None	None	Rock	None	Face_invisible	None	None	None		POINT
183.252	G:/Oxford/Videos/Bossou videos/2010/58b54a12-2dff-49b6-8431-75f3f93b8dbf/998a5667-fd56-456d-b51d-75095897bd51.dv	4833.090	29.97	Pama	Play Element	Play Element	None	None	Rock	Arm-swing	None	None	None	None		POINT
184.453	G:/Oxford/Videos/Bossou videos/2010/58b54a12-2dff-49b6-8431-75f3f93b8dbf/998a5667-fd56-456d-b51d-75095897bd51.dv	4833.090	29.97	Flanle	Play Element	Play Element	None	None	Circle-partner	None	Face_invisible	None	None	None		POINT
184.453	G:/Oxford/Videos/Bossou videos/2010/58b54a12-2dff-49b6-8431-75f3f93b8dbf/998a5667-fd56-456d-b51d-75095897bd51.dv	4833.090	29.97	Pama	Play Element	Play Element	None	Touch	None	None	Face_invisible	None	None	None		POINT
184.753	G:/Oxford/Videos/Bossou videos/2010/58b54a12-2dff-49b6-8431-75f3f93b8dbf/998a5667-fd56-456d-b51d-75095897bd51.dv	4833.090	29.97	Flanle	Play Element	Play Element	None	None	None	Feint	Face_invisible	None	None	None		POINT
185.122	G:/Oxford/Videos/Bossou videos/2010/58b54a12-2dff-49b6-8431-75f3f93b8dbf/998a5667-fd56-456d-b51d-75095897bd51.dv	4833.090	29.97	Flanle	Play Element	Play Element	None	None	Approach	None	Face_invisible	None	None	None		POINT
185.955	G:/Oxford/Videos/Bossou videos/2010/58b54a12-2dff-49b6-8431-75f3f93b8dbf/998a5667-fd56-456d-b51d-75095897bd51.dv	4833.090	29.97	Pama	Break	Break										POINT
186.422	G:/Oxford/Videos/Bossou videos/2010/58b54a12-2dff-49b6-8431-75f3f93b8dbf/998a5667-fd56-456d-b51d-75095897bd51.dv	4833.090	29.97	Flanle	Break	Break										POINT
186.624	G:/Oxford/Videos/Bossou videos/2010/58b54a12-2dff-49b6-8431-75f3f93b8dbf/998a5667-fd56-456d-b51d-75095897bd51.dv	4833.090	29.97		End	End	None	Yes								POINT
222.659	G:/Oxford/Videos/Bossou videos/2010/58b54a12-2dff-49b6-8431-75f3f93b8dbf/998a5667-fd56-456d-b51d-75095897bd51.dv	4833.090	29.97		Solo Play	Solo Play										POINT
302.237	G:/Oxford/Videos/Bossou videos/2010/58b54a12-2dff-49b6-8431-75f3f93b8dbf/998a5667-fd56-456d-b51d-75095897bd51.dv	4833.090	29.97		Solo Play	Solo Play										POINT
331.176	G:/Oxford/Videos/Bossou videos/2010/58b54a12-2dff-49b6-8431-75f3f93b8dbf/998a5667-fd56-456d-b51d-75095897bd51.dv	4833.090	29.97		Solo Play	Solo Play										POINT
477.252	G:/Oxford/Videos/Bossou videos/2010/58b54a12-2dff-49b6-8431-75f3f93b8dbf/998a5667-fd56-456d-b51d-75095897bd51.dv	4833.090	29.97		Solo Play	Solo Play										POINT
537.743	G:/Oxford/Videos/Bossou videos/2010/58b54a12-2dff-49b6-8431-75f3f93b8dbf/998a5667-fd56-456d-b51d-75095897bd51.dv	4833.090	29.97		Solo Play	Solo Play										POINT
581.317	G:/Oxford/Videos/Bossou videos/2010/58b54a12-2dff-49b6-8431-75f3f93b8dbf/998a5667-fd56-456d-b51d-75095897bd51.dv	4833.090	29.97		Players	Players	Flanle,Peley	Yes	Fana,Fanle,Flanle,Foaf,Jeje,Jire,Joya,Pama,Peley							POINT
582.018	G:/Oxford/Videos/Bossou videos/2010/58b54a12-2dff-49b6-8431-75f3f93b8dbf/998a5667-fd56-456d-b51d-75095897bd51.dv	4833.090	29.97	Peley	Play Element	Play Element	None	None	Approach	None	None	None	None	None		POINT
582.473	G:/Oxford/Videos/Bossou videos/2010/58b54a12-2dff-49b6-8431-75f3f93b8dbf/998a5667-fd56-456d-b51d-75095897bd51.dv	4833.090	29.97	Peley	Play Element	Play Element	None	Touch	None	None	None	None	None	None		POINT
583.052	G:/Oxford/Videos/Bossou videos/2010/58b54a12-2dff-49b6-8431-75f3f93b8dbf/998a5667-fd56-456d-b51d-75095897bd51.dv	4833.090	29.97	Flanle	Play Element	Play Element	None	None	Arm-protect,Bipedal,Retreat-backwards	None	Face_invisible	None	None	None		POINT
583.253	G:/Oxford/Videos/Bossou videos/2010/58b54a12-2dff-49b6-8431-75f3f93b8dbf/998a5667-fd56-456d-b51d-75095897bd51.dv	4833.090	29.97	Peley	Play Element	Play Element	None	None	Follow-Other	None	None	None	None	None		POINT
