Observation id	Sofia_2017-05-15							
								
Media file(s)								
								
Player #1	D:/Chimfunshi 2017/Enclosure 2/Sofia/2017-05-15/00009.MTS							
								
Observation date	2020-07-21 12:44:24							
								
Description	Sofia_2017-05-15							
								
Time offset (s)	0.0							
								
independent variables								
variable	value							
Observer	Alex							
Group	 Chimfunshi							
Date/Time	2000-01-01T00:00:00							
Contains play	yes							
Coded	no							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
