Observation id	a86d7ab3-16a7-47a2-a03f-215256e6a664							
								
Media file(s)								
								
Player #1	G:/Oxford/Videos/Bossou videos/2012/621ca99d-105f-48ff-99a8-427931088dc7/a86d7ab3-16a7-47a2-a03f-215256e6a664.dv							
								
Observation date	2020-09-14 11:10:34							
								
Description	Unfinished  a86d7ab3-16a7-47a2-a03f-215256e6a664							
								
Time offset (s)	0.0							
								
independent variables								
variable	value							
Observer	Alex							
Group	Bossou							
Date/Time	2000-01-01T00:00:00							
Contains play	yes							
Coded	no							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
104.964	G:/Oxford/Videos/Bossou videos/2012/621ca99d-105f-48ff-99a8-427931088dc7/a86d7ab3-16a7-47a2-a03f-215256e6a664.dv	4763.060	29.97		Comment	Other	"Play between Fanwaa and Flanle but not visible or codable
"	POINT
