Observation id	aa6401f0-3d47-4cde-844d-0610f42030ba															
																
Media file(s)																
																
Player #1	G:/Oxford/Videos/Bossou videos/2010/0e9ed526-48b5-49c3-9a07-5b1e24e59f3a/aa6401f0-3d47-4cde-844d-0610f42030ba.dv															
																
Observation date	2021-02-24 17:30:30															
																
Description	aa6401f0-3d47-4cde-844d-0610f42030ba															
																
Time offset (s)	0.0															
																
independent variables																
variable	value															
Observer	Alex															
Group	Bossou															
Date/Time	2000-01-01T00:00:00															
Contains play	yes															
Coded	no															
																
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Modifier 1	Modifier 2	Modifier 3	Modifier 4	Modifier 5	Modifier 6	Modifier 7	Modifier 8	Comment	Status
1292.695	G:/Oxford/Videos/Bossou videos/2010/0e9ed526-48b5-49c3-9a07-5b1e24e59f3a/aa6401f0-3d47-4cde-844d-0610f42030ba.dv	3759.160	29.97		Comment	Other									Can't really code this in a useful way because up in tree	POINT
1492.729	G:/Oxford/Videos/Bossou videos/2010/0e9ed526-48b5-49c3-9a07-5b1e24e59f3a/aa6401f0-3d47-4cde-844d-0610f42030ba.dv	3759.160	29.97		Solo Play	Solo Play										POINT
2184.421	G:/Oxford/Videos/Bossou videos/2010/0e9ed526-48b5-49c3-9a07-5b1e24e59f3a/aa6401f0-3d47-4cde-844d-0610f42030ba.dv	3759.160	29.97		Comment	Other									"Same problem, completely in tree
"	POINT
2303.543	G:/Oxford/Videos/Bossou videos/2010/0e9ed526-48b5-49c3-9a07-5b1e24e59f3a/aa6401f0-3d47-4cde-844d-0610f42030ba.dv	3759.160	29.97		Comment	Other									"hidden by foliage
"	POINT
2480.933	G:/Oxford/Videos/Bossou videos/2010/0e9ed526-48b5-49c3-9a07-5b1e24e59f3a/aa6401f0-3d47-4cde-844d-0610f42030ba.dv	3759.160	29.97		Comment	Other									hidden by foliage	POINT
2589.490	G:/Oxford/Videos/Bossou videos/2010/0e9ed526-48b5-49c3-9a07-5b1e24e59f3a/aa6401f0-3d47-4cde-844d-0610f42030ba.dv	3759.160	29.97		Solo Play	Solo Play										POINT
2873.360	G:/Oxford/Videos/Bossou videos/2010/0e9ed526-48b5-49c3-9a07-5b1e24e59f3a/aa6401f0-3d47-4cde-844d-0610f42030ba.dv	3759.160	29.97		Players	Players	Flanle,Joya	Yes	Fana,Fanle,Flanle,Foaf,Jeje,Joya,Peley,Tua							POINT
2876.161	G:/Oxford/Videos/Bossou videos/2010/0e9ed526-48b5-49c3-9a07-5b1e24e59f3a/aa6401f0-3d47-4cde-844d-0610f42030ba.dv	3759.160	29.97	Flanle	Play Element	Play Element	None	None	Bipedal	Drum-Tree	Face_invisible	None	None	None		POINT
2876.930	G:/Oxford/Videos/Bossou videos/2010/0e9ed526-48b5-49c3-9a07-5b1e24e59f3a/aa6401f0-3d47-4cde-844d-0610f42030ba.dv	3759.160	29.97	Flanle	Play Element	Play Element	None	None	Bipedal	Drum-Tree	Face_invisible	None	None	None		POINT
2878.131	G:/Oxford/Videos/Bossou videos/2010/0e9ed526-48b5-49c3-9a07-5b1e24e59f3a/aa6401f0-3d47-4cde-844d-0610f42030ba.dv	3759.160	29.97	Flanle	Break	Break										POINT
2879.599	G:/Oxford/Videos/Bossou videos/2010/0e9ed526-48b5-49c3-9a07-5b1e24e59f3a/aa6401f0-3d47-4cde-844d-0610f42030ba.dv	3759.160	29.97	Flanle	Play Element	Play Element	None	None	None	Drum-Tree	Face_invisible	None	None	None		POINT
2882.169	G:/Oxford/Videos/Bossou videos/2010/0e9ed526-48b5-49c3-9a07-5b1e24e59f3a/aa6401f0-3d47-4cde-844d-0610f42030ba.dv	3759.160	29.97	Joya	Play Element	Play Element	None	None	Circle-tree	None	Face_invisible	None	None	None		POINT
2882.801	G:/Oxford/Videos/Bossou videos/2010/0e9ed526-48b5-49c3-9a07-5b1e24e59f3a/aa6401f0-3d47-4cde-844d-0610f42030ba.dv	3759.160	29.97	Flanle	Play Element	Play Element	None	None	Bipedal	None	Face_invisible	None	None	None		POINT
2883.870	G:/Oxford/Videos/Bossou videos/2010/0e9ed526-48b5-49c3-9a07-5b1e24e59f3a/aa6401f0-3d47-4cde-844d-0610f42030ba.dv	3759.160	29.97	Flanle	Play Element	Play Element	Embrace	None	Bipedal	None	Face_invisible	None	None	None		POINT
2884.303	G:/Oxford/Videos/Bossou videos/2010/0e9ed526-48b5-49c3-9a07-5b1e24e59f3a/aa6401f0-3d47-4cde-844d-0610f42030ba.dv	3759.160	29.97	Flanle	Play Element	Play Element	Embrace	Touch	Bipedal	None	Face_invisible	None	None	None		POINT
