Observation id	e79a4e92-9640-4dcb-8d28-943281755186							
								
Media file(s)								
								
Player #1	G:/Oxford/Videos/Bossou videos/2010/58b54a12-2dff-49b6-8431-75f3f93b8dbf/e79a4e92-9640-4dcb-8d28-943281755186.dv							
								
Observation date	2021-06-10 12:08:54							
								
Description	e79a4e92-9640-4dcb-8d28-943281755186							
								
Time offset (s)	0.0							
								
independent variables								
variable	value							
Observer	Alex							
Group	Bossou							
Date/Time	2000-01-01T00:00:00							
Contains play	yes							
Coded	no							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
459.768	G:/Oxford/Videos/Bossou videos/2010/58b54a12-2dff-49b6-8431-75f3f93b8dbf/e79a4e92-9640-4dcb-8d28-943281755186.dv	4901.960	29.97		Solo Play	Solo Play		POINT
541.345	G:/Oxford/Videos/Bossou videos/2010/58b54a12-2dff-49b6-8431-75f3f93b8dbf/e79a4e92-9640-4dcb-8d28-943281755186.dv	4901.960	29.97		Solo Play	Solo Play		POINT
4240.301	G:/Oxford/Videos/Bossou videos/2010/58b54a12-2dff-49b6-8431-75f3f93b8dbf/e79a4e92-9640-4dcb-8d28-943281755186.dv	4901.960	29.97		Solo Play	Solo Play		POINT
