Observation id	f123a92d-aa11-49c5-8285-e2ac099791c0							
								
Media file(s)								
								
Player #1	G:/Oxford/Videos/Bossou videos/2010/58b54a12-2dff-49b6-8431-75f3f93b8dbf/f123a92d-aa11-49c5-8285-e2ac099791c0.dv							
								
Observation date	2021-06-10 13:37:03							
								
Description	f123a92d-aa11-49c5-8285-e2ac099791c0							
								
Time offset (s)	0.0							
								
independent variables								
variable	value							
Observer	Alex							
Group	Bossou							
Date/Time	2000-01-01T00:00:00							
Contains play	yes							
Coded	no							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
