elements,potential_replacement
Airplane,Move_other
Approach,-
Arm-protect,Parry
Arm-raise,-
Arm-swing,-
Arm-wave,Arm-swing
Beckon,Reach
Beg_object,Explore_object
Bend-sapling,Move_substrate
Bipedal,-
Bite,-
Bite_object,Explore_object
Bop,Swagger
Bow,Crouch
Branch-pull,Move_substrate
Branch-shake,Move_substrate
Break_object,Explore_object
Carry,Move_other
Carry_object,Explore_object
Charge,Approach
Chase,Follow-Other
Circle-partner,Pass
Circle-tree,Follow-Other
Circle_object,Circle-tree
Climb,-
Cover-face,Explore_object
Crouch,Bow
Display,Swagger
Drag,Move_other
Drag_object,Explore_object
Drop_object,Explore_object
Drum,Hit
Drum_object,Hit_object
Drum-Tree,-
Embrace,Mount
Explore_object,Explore_object
Fall,Jump
Feint,-
Finger-in-mouth,Touch
Flail,Hit_attempt
Flail_contact,Hit
Flee,Retreat
Follow-Other,-
Grab_object,Explore_object
Grabble/Wrestle,-
Hand-fling,Arm-wave
Hang,Swing
Head-butt,Hit
Head-down,-
Head-flagging,Explore_object
Head-scratch,Loud-scratch
Head-shake,-
Head-stand,Head-down
Hide,-
Hide-swing,Hide
Hit,-
Hit_attempt,Flail
Hit_object,-
Hold,-
Jump,-
Jump-on,Step-on
Jump-on_object,Hit_object
Kick,-
Kick-dirt,Rake-ground
Kick-tree,Drum-Tree
Kick_object,Hit_object
Lead,Retreat
Lie-down,-
Look-between-legs,Head-down
Loud-scratch,Present-body-part
Mount,Press-down
Parry,Arm-protect
Pass,Approach
Pirouette,Somersault
Poke_object,Explore_object
Present-body-part,-
Present_object,Explore_object
Press-down,-
Press-ground,Slap-ground
Pretend-throw,Flail
Pretend-throw_object,Flail
Pull,-
Pull_object,Explore_object
Push,-
Push_object,Hit_object
Rake-ground,Kick-dirt
Reach,-
Retreat,-
Retreat-backwards,Retreat
Rock,-
Roll-partner,Move_other
Roll_object,Explore_object
Rump-rub,Mount
Run-parallel,Follow-Other
Run-stiff,Approach
Shake-off,Parry
Shake-partner,Move_other
Shake_object,Hit_object
Slap-ground,Press-ground
Slap_ground_object,Slap-ground
Somersault,Pirouette
Stare-at,-
Step-on,Jump-on
Stomp,Press-ground
Swagger,Bipedal
Swing,Hang
Take_object,Explore_object
Throw_object,Explore_object
Tickle,Touch
Touch,Tickle
Touch_object,Explore_object
Trip,Pull
Tug-of-war,Pull
Twist-object,Explore_object
Walk-stiff,Run-stiff
Wash_object,Explore_object
Wave_object,Flail
Wrap_object,Explore_object
